Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
345,2019-03-18,BOS,,DEN,L 105-114,240,39,93,.419,27,54,.500,12,39,.308,15,19,.789,105
346,2019-03-18,DEN,@,BOS,W 114-105,240,46,94,.489,32,55,.582,14,39,.359,8,10,.800,114
347,2019-03-18,CLE,,DET,W 126-119,240,46,79,.582,35,57,.614,11,22,.500,23,27,.852,126
348,2019-03-18,DET,@,CLE,L 119-126,240,42,94,.447,24,50,.480,18,44,.409,17,21,.810,119
349,2019-03-18,DAL,,NOP,L 125-129 (OT),265,46,105,.438,37,70,.529,9,35,.257,24,29,.828,125
350,2019-03-18,NOP,@,DAL,W 129-125 (OT),265,49,104,.471,37,65,.569,12,39,.308,19,22,.864,129
351,2019-03-18,MIA,@,OKC,W 116-107,240,46,97,.474,37,68,.544,9,29,.310,15,16,.938,116
352,2019-03-18,OKC,,MIA,L 107-116,240,38,87,.437,28,50,.560,10,37,.270,21,27,.778,107
353,2019-03-18,CHI,@,PHO,W 116-101,240,46,89,.517,42,73,.575,4,16,.250,20,24,.833,116
354,2019-03-18,PHO,,CHI,L 101-116,240,39,84,.464,32,58,.552,7,26,.269,16,26,.615,101
355,2019-03-18,IND,@,POR,L 98-106,240,35,83,.422,25,59,.424,10,24,.417,18,22,.818,98
356,2019-03-18,POR,,IND,W 106-98,240,37,79,.468,24,47,.511,13,32,.406,19,21,.905,106
357,2019-03-18,GSW,@,SAS,L 105-111,240,41,88,.466,28,49,.571,13,39,.333,10,12,.833,105
358,2019-03-18,SAS,,GSW,W 111-105,240,41,88,.466,31,62,.500,10,26,.385,19,22,.864,111
359,2019-03-18,NYK,@,TOR,L 92-128,240,28,85,.329,20,50,.400,8,35,.229,28,32,.875,92
360,2019-03-18,TOR,,NYK,W 128-92,240,49,88,.557,32,48,.667,17,40,.425,13,22,.591,128
361,2019-03-18,UTA,@,WAS,W 116-95,240,49,91,.538,35,54,.648,14,37,.378,4,6,.667,116
362,2019-03-18,WAS,,UTA,L 95-116,240,34,81,.420,26,54,.481,8,27,.296,19,22,.864,95
363,2019-03-17,DET,,TOR,W 110-107,240,39,83,.470,31,56,.554,8,27,.296,24,27,.889,110
364,2019-03-17,TOR,@,DET,L 107-110,240,39,82,.476,21,46,.457,18,36,.500,11,14,.786,107
365,2019-03-17,HOU,,MIN,W 117-102,240,43,94,.457,22,44,.500,21,50,.420,10,14,.714,117
366,2019-03-17,MIN,@,HOU,L 102-117,240,38,92,.413,28,60,.467,10,32,.313,16,23,.696,102
367,2019-03-17,BRK,@,LAC,L 116-119,240,42,100,.420,28,62,.452,14,38,.368,18,25,.720,116
368,2019-03-17,LAC,,BRK,W 119-116,240,42,97,.433,30,66,.455,12,31,.387,23,28,.821,119
369,2019-03-17,CHA,@,MIA,L 75-93,240,26,83,.313,19,47,.404,7,36,.194,16,18,.889,75
370,2019-03-17,MIA,,CHO,W 93-75,240,34,86,.395,21,53,.396,13,33,.394,12,19,.632,93
