Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
13590,2014-01-17,OKC,,GSW,W 127-121,240,47,81,.580,38,59,.644,9,22,.409,24,33,.727,127
13591,2014-01-17,CHA,@,ORL,W 111-101,240,39,74,.527,32,59,.542,7,15,.467,26,35,.743,111
13592,2014-01-17,ORL,,CHA,L 101-111,240,38,82,.463,28,57,.491,10,25,.400,15,21,.714,101
13593,2014-01-17,MIA,@,PHI,W 101-86,240,38,80,.475,30,57,.526,8,23,.348,17,20,.850,101
13594,2014-01-17,PHI,,MIA,L 86-101,240,31,84,.369,29,64,.453,2,20,.100,22,37,.595,86
13595,2014-01-17,DAL,@,PHO,W 110-107,240,44,83,.530,35,59,.593,9,24,.375,13,19,.684,110
13596,2014-01-17,PHO,,DAL,L 107-110,240,42,93,.452,35,71,.493,7,22,.318,16,21,.762,107
13597,2014-01-17,POR,@,SAS,W 109-100,240,41,86,.477,33,70,.471,8,16,.500,19,20,.950,109
13598,2014-01-17,SAS,,POR,L 100-109,240,38,84,.452,30,64,.469,8,20,.400,16,20,.800,100
13599,2014-01-17,MIN,@,TOR,L 89-94,240,36,82,.439,33,64,.516,3,18,.167,14,20,.700,89
13600,2014-01-17,TOR,,MIN,W 94-89,240,34,78,.436,23,54,.426,11,24,.458,15,20,.750,94
13601,2014-01-17,CHI,@,WAS,L 93-96,240,35,76,.461,26,52,.500,9,24,.375,14,16,.875,93
13602,2014-01-17,WAS,,CHI,W 96-93,240,40,79,.506,34,68,.500,6,11,.545,10,13,.769,96
13603,2014-01-16,ATL,,BRK,L 110-127,240,40,81,.494,32,56,.571,8,25,.320,22,22,1.000,110
13604,2014-01-16,BRK,@,ATL,W 127-110,240,53,91,.582,37,64,.578,16,27,.593,5,7,.714,127
13605,2014-01-16,HOU,,OKC,L 92-104,240,33,82,.402,21,48,.438,12,34,.353,14,21,.667,92
13606,2014-01-16,OKC,@,HOU,W 104-92,240,38,82,.463,32,57,.561,6,25,.240,22,25,.880,104
13607,2014-01-16,IND,,NYK,W 117-89,240,43,86,.500,33,63,.524,10,23,.435,21,23,.913,117
13608,2014-01-16,NYK,@,IND,L 89-117,240,34,85,.400,30,66,.455,4,19,.211,17,22,.773,89
13609,2014-01-15,BOS,,TOR,W 88-83,240,29,84,.345,25,67,.373,4,17,.235,26,36,.722,88
13610,2014-01-15,TOR,@,BOS,L 83-88,240,30,78,.385,19,54,.352,11,24,.458,12,25,.480,83
13611,2014-01-15,DEN,@,GSW,W 123-116,240,45,83,.542,33,59,.559,12,24,.500,21,29,.724,123
13612,2014-01-15,GSW,,DEN,L 116-123,240,39,90,.433,30,62,.484,9,28,.321,29,33,.879,116
13613,2014-01-15,DAL,@,LAC,L 127-129,240,51,97,.526,39,72,.542,12,25,.480,13,21,.619,127
13614,2014-01-15,LAC,,DAL,W 129-127,240,42,83,.506,25,49,.510,17,34,.500,28,37,.757,129
13615,2014-01-15,MEM,@,MIL,W 82-77,240,33,82,.402,28,62,.452,5,20,.250,11,18,.611,82
13616,2014-01-15,MIL,,MEM,L 77-82,240,31,82,.378,25,62,.403,6,20,.300,9,12,.750,77
13617,2014-01-15,MIN,,SAC,L 108-111,240,39,88,.443,31,68,.456,8,20,.400,22,29,.759,108
13618,2014-01-15,SAC,@,MIN,W 111-108,240,45,82,.549,40,70,.571,5,12,.417,16,19,.842,111
13619,2014-01-15,HOU,@,NOP,W 103-100,240,37,72,.514,33,59,.559,4,13,.308,25,41,.610,103
13620,2014-01-15,NOP,,HOU,L 100-103,240,35,77,.455,27,57,.474,8,20,.400,22,29,.759,100
13621,2014-01-15,CHI,@,ORL,W 128-125 (3OT),315,48,113,.425,36,80,.450,12,33,.364,20,23,.870,128
13622,2014-01-15,ORL,,CHI,L 125-128 (3OT),315,53,104,.510,47,78,.603,6,26,.231,13,16,.813,125
13623,2014-01-15,CHA,@,PHI,L 92-95,240,35,88,.398,30,68,.441,5,20,.250,17,26,.654,92
13624,2014-01-15,PHI,,CHA,W 95-92,240,39,77,.506,33,62,.532,6,15,.400,11,20,.550,95
13625,2014-01-15,LAL,@,PHO,L 114-121,240,43,91,.473,37,71,.521,6,20,.300,22,24,.917,114
13626,2014-01-15,PHO,,LAL,W 121-114,240,49,100,.490,45,81,.556,4,19,.211,19,25,.760,121
13627,2014-01-15,CLE,@,POR,L 96-108,240,39,89,.438,33,66,.500,6,23,.261,12,18,.667,96
13628,2014-01-15,POR,,CLE,W 108-96,240,42,88,.477,31,61,.508,11,27,.407,13,17,.765,108
13629,2014-01-15,SAS,,UTA,W 109-105,240,43,80,.538,36,64,.563,7,16,.438,16,18,.889,109
13630,2014-01-15,UTA,@,SAS,L 105-109,240,44,89,.494,40,81,.494,4,8,.500,13,19,.684,105
13631,2014-01-15,MIA,@,WAS,L 97-114,240,37,84,.440,30,59,.508,7,25,.280,16,17,.941,97
13632,2014-01-15,WAS,,MIA,W 114-97,240,41,75,.547,31,53,.585,10,22,.455,22,26,.846,114
13633,2014-01-14,CHA,,NYK,W 108-98,240,38,75,.507,32,61,.525,6,14,.429,26,33,.788,108
13634,2014-01-14,NYK,@,CHA,L 98-108,240,39,81,.481,33,64,.516,6,17,.353,14,18,.778,98
13635,2014-01-14,IND,,SAC,W 116-92,240,45,82,.549,39,66,.591,6,16,.375,20,25,.800,116
13636,2014-01-14,SAC,@,IND,L 92-116,240,39,92,.424,35,79,.443,4,13,.308,10,17,.588,92
13637,2014-01-14,CLE,@,LAL,W 120-118,240,41,88,.466,28,71,.394,13,17,.765,25,32,.781,120
13638,2014-01-14,LAL,,CLE,L 118-120,240,44,84,.524,31,50,.620,13,34,.382,17,23,.739,118
13639,2014-01-14,MEM,,OKC,W 90-87,240,32,80,.400,28,66,.424,4,14,.286,22,27,.815,90
13640,2014-01-14,OKC,@,MEM,L 87-90,240,33,81,.407,28,60,.467,5,21,.238,16,20,.800,87
13641,2014-01-13,BOS,,HOU,L 92-104,240,38,101,.376,35,84,.417,3,17,.176,13,14,.929,92
13642,2014-01-13,HOU,@,BOS,W 104-92,240,37,79,.468,29,60,.483,8,19,.421,22,34,.647,104
13643,2014-01-13,CHI,,WAS,L 88-102,240,34,79,.430,25,58,.431,9,21,.429,11,19,.579,88
13644,2014-01-13,WAS,@,CHI,W 102-88,240,39,75,.520,32,57,.561,7,18,.389,17,28,.607,102
13645,2014-01-13,DAL,,ORL,W 107-88,240,40,79,.506,27,52,.519,13,27,.481,14,15,.933,107
13646,2014-01-13,ORL,@,DAL,L 88-107,240,34,76,.447,27,52,.519,7,24,.292,13,16,.813,88
13647,2014-01-13,NOP,,SAS,L 95-101,240,38,87,.437,31,76,.408,7,11,.636,12,17,.706,95
13648,2014-01-13,SAS,@,NOP,W 101-95,240,35,67,.522,30,55,.545,5,12,.417,26,31,.839,101
13649,2014-01-13,NYK,,PHO,W 98-96 (OT),265,35,81,.432,28,61,.459,7,20,.350,21,27,.778,98
13650,2014-01-13,PHO,@,NYK,L 96-98 (OT),265,33,93,.355,26,63,.413,7,30,.233,23,28,.821,96
13651,2014-01-13,MIL,@,TOR,L 94-116,240,35,83,.422,26,64,.406,9,19,.474,15,22,.682,94
13652,2014-01-13,TOR,,MIL,W 116-94,240,40,79,.506,28,56,.500,12,23,.522,24,30,.800,116
13653,2014-01-13,DEN,@,UTA,L 103-118,240,37,84,.440,30,58,.517,7,26,.269,22,35,.629,103
13654,2014-01-13,UTA,,DEN,W 118-103,240,44,79,.557,36,61,.590,8,18,.444,22,29,.759,118
13655,2014-01-12,ATL,@,MEM,L 101-108,240,38,80,.475,29,53,.547,9,27,.333,16,24,.667,101
13656,2014-01-12,MEM,,ATL,W 108-101,240,43,83,.518,37,68,.544,6,15,.400,16,20,.800,108
13657,2014-01-12,CLE,@,SAC,L 80-124,240,31,80,.388,24,59,.407,7,21,.333,11,23,.478,80
13658,2014-01-12,SAC,,CLE,W 124-80,240,42,81,.519,27,51,.529,15,30,.500,25,30,.833,124
13659,2014-01-12,MIN,@,SAS,L 86-104,240,33,93,.355,28,76,.368,5,17,.294,15,18,.833,86
13660,2014-01-12,SAS,,MIN,W 104-86,240,42,74,.568,33,61,.541,9,13,.692,11,14,.786,104
13661,2014-01-11,CHA,@,CHI,L 97-103,240,37,79,.468,33,68,.485,4,11,.364,19,20,.950,97
13662,2014-01-11,CHI,,CHA,W 103-97,240,38,81,.469,32,67,.478,6,14,.429,21,26,.808,103
13663,2014-01-11,DAL,,NOP,W 110-107,240,30,67,.448,19,40,.475,11,27,.407,39,45,.867,110
13664,2014-01-11,NOP,@,DAL,L 107-110,240,37,77,.481,29,58,.500,8,19,.421,25,31,.806,107
13665,2014-01-11,DEN,,ORL,W 120-94,240,44,87,.506,32,59,.542,12,28,.429,20,26,.769,120
13666,2014-01-11,ORL,@,DEN,L 94-120,240,37,84,.440,33,64,.516,4,20,.200,16,23,.696,94
13667,2014-01-11,DET,,PHO,W 110-108,240,44,94,.468,41,77,.532,3,17,.176,19,27,.704,110
13668,2014-01-11,PHO,@,DET,L 108-110,240,37,94,.394,24,59,.407,13,35,.371,21,25,.840,108
13669,2014-01-11,MIL,@,OKC,L 85-101,240,32,81,.395,20,50,.400,12,31,.387,9,14,.643,85
13670,2014-01-11,OKC,,MIL,W 101-85,240,35,86,.407,25,61,.410,10,25,.400,21,27,.778,101
13671,2014-01-11,NYK,@,PHI,W 102-92,240,39,82,.476,33,64,.516,6,18,.333,18,23,.783,102
13672,2014-01-11,PHI,,NYK,L 92-102,240,36,78,.462,31,59,.525,5,19,.263,15,21,.714,92
13673,2014-01-11,BOS,@,POR,L 104-112,240,44,95,.463,40,81,.494,4,14,.286,12,17,.706,104
13674,2014-01-11,POR,,BOS,W 112-104,240,40,93,.430,30,72,.417,10,21,.476,22,26,.846,112
13675,2014-01-11,BRK,@,TOR,L 80-96,240,30,75,.400,22,50,.440,8,25,.320,12,18,.667,80
13676,2014-01-11,TOR,,BRK,W 96-80,240,32,79,.405,21,54,.389,11,25,.440,21,28,.750,96
13677,2014-01-11,HOU,@,WAS,W 114-107,240,38,73,.521,30,55,.545,8,18,.444,30,42,.714,114
13678,2014-01-11,WAS,,HOU,L 107-114,240,40,95,.421,35,76,.461,5,19,.263,22,31,.710,107
13679,2014-01-10,ATL,,HOU,W 83-80,240,32,86,.372,23,54,.426,9,32,.281,10,11,.909,83
13680,2014-01-10,HOU,@,ATL,L 80-83,240,29,70,.414,23,51,.451,6,19,.316,16,22,.727,80
13681,2014-01-10,BRK,,MIA,W 104-95 (2OT),290,40,86,.465,33,66,.500,7,20,.350,17,21,.810,104
13682,2014-01-10,MIA,@,BRK,L 95-104 (2OT),290,34,80,.425,28,57,.491,6,23,.261,21,27,.778,95
13683,2014-01-10,BOS,@,GSW,L 97-99,240,38,85,.447,31,66,.470,7,19,.368,14,16,.875,97
13684,2014-01-10,GSW,,BOS,W 99-97,240,38,92,.413,30,66,.455,8,26,.308,15,21,.714,99
13685,2014-01-10,IND,,WAS,W 93-66,240,37,83,.446,31,70,.443,6,13,.462,13,22,.591,93
13686,2014-01-10,WAS,@,IND,L 66-93,240,26,81,.321,21,67,.313,5,14,.357,9,23,.391,66
13687,2014-01-10,LAC,,LAL,W 123-87,240,45,92,.489,38,69,.551,7,23,.304,26,35,.743,123
13688,2014-01-10,LAL,@,LAC,L 87-123,240,29,84,.345,25,68,.368,4,16,.250,25,28,.893,87
13689,2014-01-10,MEM,,PHO,W 104-99,240,42,86,.488,36,71,.507,6,15,.400,14,23,.609,104
13690,2014-01-10,PHO,@,MEM,L 99-104,240,38,92,.413,27,62,.435,11,30,.367,12,16,.750,99
13691,2014-01-10,CHI,@,MIL,W 81-72,240,24,62,.387,18,46,.391,6,16,.375,27,39,.692,81
13692,2014-01-10,MIL,,CHI,L 72-81,240,28,88,.318,21,67,.313,7,21,.333,9,12,.750,72
13693,2014-01-10,CHA,@,MIN,L 92-119,240,37,84,.440,29,65,.446,8,19,.421,10,14,.714,92
13694,2014-01-10,MIN,,CHA,W 119-92,240,48,88,.545,39,69,.565,9,19,.474,14,19,.737,119
13695,2014-01-10,DAL,@,NOP,W 107-90,240,41,78,.526,27,50,.540,14,28,.500,11,16,.688,107
13696,2014-01-10,NOP,,DAL,L 90-107,240,36,80,.450,33,73,.452,3,7,.429,15,19,.789,90
13697,2014-01-10,DET,@,PHI,W 114-104,240,40,94,.426,29,64,.453,11,30,.367,23,33,.697,114
13698,2014-01-10,PHI,,DET,L 104-114,240,41,95,.432,33,71,.465,8,24,.333,14,20,.700,104
13699,2014-01-10,ORL,@,SAC,L 83-103,240,26,78,.333,18,51,.353,8,27,.296,23,29,.793,83
13700,2014-01-10,SAC,,ORL,W 103-83,240,41,80,.513,38,66,.576,3,14,.214,18,19,.947,103
13701,2014-01-10,CLE,@,UTA,W 113-102,240,45,83,.542,38,69,.551,7,14,.500,16,20,.800,113
13702,2014-01-10,UTA,,CLE,L 102-113,240,39,81,.481,30,61,.492,9,20,.450,15,27,.556,102
13703,2014-01-09,DEN,,OKC,W 101-88,240,37,90,.411,23,59,.390,14,31,.452,13,18,.722,101
13704,2014-01-09,OKC,@,DEN,L 88-101,240,30,85,.353,24,61,.393,6,24,.250,22,27,.815,88
13705,2014-01-09,MIA,@,NYK,L 92-102,240,37,68,.544,30,47,.638,7,21,.333,11,21,.524,92
13706,2014-01-09,NYK,,MIA,W 102-92,240,44,82,.537,35,58,.603,9,24,.375,5,10,.500,102
13707,2014-01-08,ATL,,IND,W 97-87,240,34,75,.453,24,52,.462,10,23,.435,19,22,.864,97
13708,2014-01-08,IND,@,ATL,L 87-97,240,35,87,.402,26,60,.433,9,27,.333,8,9,.889,87
13709,2014-01-08,BRK,,GSW,W 102-98,240,34,77,.442,29,58,.500,5,19,.263,29,35,.829,102
13710,2014-01-08,GSW,@,BRK,L 98-102,240,36,78,.462,27,52,.519,9,26,.346,17,23,.739,98
13711,2014-01-08,HOU,,LAL,W 113-99,240,39,86,.453,32,58,.552,7,28,.250,28,50,.560,113
13712,2014-01-08,LAL,@,HOU,L 99-113,240,36,88,.409,29,64,.453,7,24,.292,20,25,.800,99
13713,2014-01-08,BOS,@,LAC,L 105-111,240,39,83,.470,34,66,.515,5,17,.294,22,30,.733,105
13714,2014-01-08,LAC,,BOS,W 111-105,240,36,79,.456,25,49,.510,11,30,.367,28,39,.718,111
13715,2014-01-08,MIN,,PHO,L 103-104,240,34,86,.395,28,70,.400,6,16,.375,29,35,.829,103
13716,2014-01-08,PHO,@,MIN,W 104-103,240,38,92,.413,27,63,.429,11,29,.379,17,23,.739,104
13717,2014-01-08,NOP,,WAS,L 96-102,240,35,78,.449,31,65,.477,4,13,.308,22,27,.815,96
13718,2014-01-08,WAS,@,NOP,W 102-96,240,38,80,.475,28,59,.475,10,21,.476,16,26,.615,102
13719,2014-01-08,ORL,@,POR,L 94-110,240,33,83,.398,26,63,.413,7,20,.350,21,27,.778,94
13720,2014-01-08,POR,,ORL,W 110-94,240,45,95,.474,36,65,.554,9,30,.300,11,13,.846,110
13721,2014-01-08,DAL,@,SAS,L 90-112,240,39,93,.419,32,74,.432,7,19,.368,5,8,.625,90
13722,2014-01-08,SAS,,DAL,W 112-90,240,40,76,.526,31,56,.554,9,20,.450,23,26,.885,112
13723,2014-01-08,DET,@,TOR,L 91-112,240,34,86,.395,30,70,.429,4,16,.250,19,35,.543,91
13724,2014-01-08,TOR,,DET,W 112-91,240,35,86,.407,24,55,.436,11,31,.355,31,34,.912,112
13725,2014-01-07,CHA,,WAS,L 83-97,240,31,72,.431,25,56,.446,6,16,.375,15,24,.625,83
13726,2014-01-07,WAS,@,CHA,W 97-83,240,40,85,.471,35,68,.515,5,17,.294,12,15,.800,97
13727,2014-01-07,CHI,,PHO,W 92-87,240,36,82,.439,30,68,.441,6,14,.429,14,23,.609,92
13728,2014-01-07,PHO,@,CHI,L 87-92,240,33,82,.402,27,59,.458,6,23,.261,15,19,.789,87
13729,2014-01-07,CLE,,PHI,W 111-93,240,44,89,.494,31,61,.508,13,28,.464,10,18,.556,111
13730,2014-01-07,PHI,@,CLE,L 93-111,240,34,86,.395,30,67,.448,4,19,.211,21,27,.778,93
13731,2014-01-07,DAL,,LAL,W 110-97,240,48,90,.533,43,73,.589,5,17,.294,9,15,.600,110
13732,2014-01-07,LAL,@,DAL,L 97-110,240,34,81,.420,23,50,.460,11,31,.355,18,26,.692,97
13733,2014-01-07,BOS,@,DEN,L 98-129,240,35,91,.385,31,73,.425,4,18,.222,24,32,.750,98
13734,2014-01-07,DEN,,BOS,W 129-98,240,43,83,.518,29,52,.558,14,31,.452,29,38,.763,129
13735,2014-01-07,IND,,TOR,W 86-79,240,32,75,.427,31,64,.484,1,11,.091,21,26,.808,86
13736,2014-01-07,TOR,@,IND,L 79-86,240,30,81,.370,25,62,.403,5,19,.263,14,18,.778,79
13737,2014-01-07,MEM,,SAS,L 108-110 (OT),265,46,99,.465,40,82,.488,6,17,.353,10,15,.667,108
13738,2014-01-07,SAS,@,MEM,W 110-108 (OT),265,43,83,.518,36,59,.610,7,24,.292,17,25,.680,110
13739,2014-01-07,MIA,,NOP,W 107-88,240,40,78,.513,31,51,.608,9,27,.333,18,23,.783,107
13740,2014-01-07,NOP,@,MIA,L 88-107,240,36,77,.468,33,68,.485,3,9,.333,13,17,.765,88
13741,2014-01-07,GSW,@,MIL,W 101-80,240,39,85,.459,29,53,.547,10,32,.313,13,20,.650,101
13742,2014-01-07,MIL,,GSW,L 80-101,240,31,80,.388,26,65,.400,5,15,.333,13,18,.722,80
13743,2014-01-07,DET,@,NYK,L 85-89,240,32,86,.372,29,67,.433,3,19,.158,18,23,.783,85
13744,2014-01-07,NYK,,DET,W 89-85,240,33,81,.407,24,55,.436,9,26,.346,14,20,.700,89
13745,2014-01-07,POR,@,SAC,L 119-123,240,39,90,.433,29,63,.460,10,27,.370,31,36,.861,119
13746,2014-01-07,SAC,,POR,W 123-119,240,40,85,.471,33,70,.471,7,15,.467,36,50,.720,123
13747,2014-01-07,OKC,@,UTA,L 101-112,240,35,89,.393,29,55,.527,6,34,.176,25,31,.806,101
13748,2014-01-07,UTA,,OKC,W 112-101,240,40,68,.588,32,50,.640,8,18,.444,24,31,.774,112
13749,2014-01-06,ATL,@,BRK,L 86-91,240,27,70,.386,19,46,.413,8,24,.333,24,26,.923,86
13750,2014-01-06,BRK,,ATL,W 91-86,240,33,80,.413,25,53,.472,8,27,.296,17,26,.654,91
13751,2014-01-06,LAC,,ORL,W 101-81,240,35,83,.422,24,52,.462,11,31,.355,20,24,.833,101
13752,2014-01-06,ORL,@,LAC,L 81-101,240,30,84,.357,23,65,.354,7,19,.368,14,21,.667,81
13753,2014-01-06,MIN,@,PHI,W 126-95,240,46,100,.460,30,74,.405,16,26,.615,18,23,.783,126
13754,2014-01-06,PHI,,MIN,L 95-126,240,38,80,.475,30,62,.484,8,18,.444,11,16,.688,95
13755,2014-01-05,CLE,,IND,L 78-82,240,27,79,.342,21,59,.356,6,20,.300,18,20,.900,78
13756,2014-01-05,IND,@,CLE,W 82-78,240,28,77,.364,20,53,.377,8,24,.333,18,22,.818,82
13757,2014-01-05,DAL,,NYK,L 80-92,240,32,78,.410,26,52,.500,6,26,.231,10,18,.556,80
13758,2014-01-05,NYK,@,DAL,W 92-80,240,37,76,.487,32,63,.508,5,13,.385,13,16,.813,92
13759,2014-01-05,DET,,MEM,L 84-112,240,35,86,.407,31,69,.449,4,17,.235,10,20,.500,84
13760,2014-01-05,MEM,@,DET,W 112-84,240,43,92,.467,35,77,.455,8,15,.533,18,22,.818,112
13761,2014-01-05,DEN,@,LAL,W 137-115,240,53,99,.535,41,70,.586,12,29,.414,19,24,.792,137
13762,2014-01-05,LAL,,DEN,L 115-137,240,42,89,.472,39,68,.574,3,21,.143,28,36,.778,115
13763,2014-01-05,MIA,,TOR,W 102-97,240,38,81,.469,35,70,.500,3,11,.273,23,27,.852,102
13764,2014-01-05,TOR,@,MIA,L 97-102,240,39,77,.506,32,55,.582,7,22,.318,12,21,.571,97
13765,2014-01-05,BOS,@,OKC,L 96-119,240,35,80,.438,24,57,.421,11,23,.478,15,24,.625,96
13766,2014-01-05,OKC,,BOS,W 119-96,240,43,83,.518,34,64,.531,9,19,.474,24,31,.774,119
13767,2014-01-05,GSW,@,WAS,W 112-96,240,43,85,.506,34,63,.540,9,22,.409,17,20,.850,112
13768,2014-01-05,WAS,,GSW,L 96-112,240,37,86,.430,31,66,.470,6,20,.300,16,16,1.000,96
13769,2014-01-04,BRK,,CLE,W 89-82,240,31,71,.437,23,47,.489,8,24,.333,19,22,.864,89
13770,2014-01-04,CLE,@,BRK,L 82-89,240,29,79,.367,19,57,.333,10,22,.455,14,20,.700,82
13771,2014-01-04,ATL,@,CHI,L 84-91,240,32,86,.372,24,58,.414,8,28,.286,12,14,.857,84
13772,2014-01-04,CHI,,ATL,W 91-84,240,33,81,.407,27,64,.422,6,17,.353,19,24,.792,91
13773,2014-01-04,IND,,NOP,W 99-82,240,39,83,.470,32,61,.525,7,22,.318,14,19,.737,99
13774,2014-01-04,NOP,@,IND,L 82-99,240,31,68,.456,28,59,.475,3,9,.333,17,26,.654,82
13775,2014-01-04,MIN,,OKC,L 111-115,240,43,94,.457,36,74,.486,7,20,.350,18,29,.621,111
13776,2014-01-04,OKC,@,MIN,W 115-111,240,40,83,.482,32,59,.542,8,24,.333,27,28,.964,115
13777,2014-01-04,MIA,@,ORL,W 110-94,240,40,74,.541,34,58,.586,6,16,.375,24,31,.774,110
13778,2014-01-04,ORL,,MIA,L 94-110,240,33,80,.413,25,54,.463,8,26,.308,20,24,.833,94
13779,2014-01-04,MIL,@,PHO,L 100-116,240,37,68,.544,27,47,.574,10,21,.476,16,20,.800,100
13780,2014-01-04,PHO,,MIL,W 116-100,240,41,85,.482,29,58,.500,12,27,.444,22,25,.880,116
13781,2014-01-04,PHI,@,POR,W 101-99,240,40,88,.455,36,74,.486,4,14,.286,17,24,.708,101
13782,2014-01-04,POR,,PHI,L 99-101,240,36,99,.364,33,77,.429,3,22,.136,24,30,.800,99
13783,2014-01-04,CHA,@,SAC,W 113-103,240,45,83,.542,36,68,.529,9,15,.600,14,23,.609,113
13784,2014-01-04,SAC,,CHA,L 103-113,240,42,92,.457,36,75,.480,6,17,.353,13,19,.684,103
13785,2014-01-04,LAC,@,SAS,L 92-116,240,37,79,.468,34,64,.531,3,15,.200,15,21,.714,92
13786,2014-01-04,SAS,,LAC,W 116-92,240,50,90,.556,46,72,.639,4,18,.222,12,16,.750,116
13787,2014-01-03,ATL,,GSW,L 100-101,240,37,80,.463,27,49,.551,10,31,.323,16,19,.842,100
13788,2014-01-03,GSW,@,ATL,W 101-100,240,39,87,.448,33,60,.550,6,27,.222,17,25,.680,101
13789,2014-01-03,BOS,,NOP,L 92-95,240,31,89,.348,24,60,.400,7,29,.241,23,28,.821,92
13790,2014-01-03,NOP,@,BOS,W 95-92,240,38,77,.494,36,71,.507,2,6,.333,17,22,.773,95
13791,2014-01-03,DAL,,LAC,L 112-119,240,45,88,.511,33,60,.550,12,28,.429,10,14,.714,112
13792,2014-01-03,LAC,@,DAL,W 119-112,240,40,82,.488,31,59,.525,9,23,.391,30,38,.789,119
13793,2014-01-03,DEN,,MEM,W 111-108,240,43,80,.538,34,58,.586,9,22,.409,16,21,.762,111
13794,2014-01-03,MEM,@,DEN,L 108-111,240,37,76,.487,32,64,.500,5,12,.417,29,38,.763,108
13795,2014-01-03,HOU,,NYK,W 102-100,240,34,74,.459,24,48,.500,10,26,.385,24,28,.857,102
13796,2014-01-03,NYK,@,HOU,L 100-102,240,37,89,.416,28,65,.431,9,24,.375,17,24,.708,100
13797,2014-01-03,LAL,,UTA,W 110-99,240,42,81,.519,32,57,.561,10,24,.417,16,21,.762,110
13798,2014-01-03,UTA,@,LAL,L 99-110,240,38,86,.442,30,60,.500,8,26,.308,15,23,.652,99
13799,2014-01-03,TOR,@,WAS,W 101-88,240,40,79,.506,29,57,.509,11,22,.500,10,13,.769,101
13800,2014-01-03,WAS,,TOR,L 88-101,240,34,82,.415,30,70,.429,4,12,.333,16,17,.941,88
13801,2014-01-02,BOS,@,CHI,L 82-94,240,32,81,.395,30,69,.435,2,12,.167,16,23,.696,82
13802,2014-01-02,CHI,,BOS,W 94-82,240,35,84,.417,33,69,.478,2,15,.133,22,28,.786,94
13803,2014-01-02,CLE,,ORL,W 87-81 (OT),265,33,96,.344,29,77,.377,4,19,.211,17,24,.708,87
13804,2014-01-02,ORL,@,CLE,L 81-87 (OT),265,32,84,.381,25,59,.424,7,25,.280,10,18,.556,81
13805,2014-01-02,GSW,@,MIA,W 123-114,240,46,82,.561,31,53,.585,15,29,.517,16,19,.842,123
13806,2014-01-02,MIA,,GSW,L 114-123,240,40,78,.513,32,60,.533,8,18,.444,26,31,.839,114
13807,2014-01-02,BRK,@,OKC,W 95-93,240,31,70,.443,22,46,.478,9,24,.375,24,31,.774,95
13808,2014-01-02,OKC,,BRK,L 93-95,240,34,68,.500,25,46,.543,9,22,.409,16,19,.842,93
13809,2014-01-02,MEM,@,PHO,W 99-91,240,44,92,.478,41,78,.526,3,14,.214,8,14,.571,99
13810,2014-01-02,PHO,,MEM,L 91-99,240,37,90,.411,29,60,.483,8,30,.267,9,16,.563,91
13811,2014-01-02,CHA,@,POR,L 104-134,240,34,79,.430,27,63,.429,7,16,.438,29,36,.806,104
13812,2014-01-02,POR,,CHA,W 134-104,240,54,93,.581,33,60,.550,21,33,.636,5,7,.714,134
13813,2014-01-02,PHI,@,SAC,W 113-104,240,42,90,.467,37,71,.521,5,19,.263,24,31,.774,113
13814,2014-01-02,SAC,,PHI,L 104-113,240,35,83,.422,28,60,.467,7,23,.304,27,37,.730,104
13815,2014-01-02,NYK,@,SAS,W 105-101,240,39,76,.513,30,59,.508,9,17,.529,18,20,.900,105
13816,2014-01-02,SAS,,NYK,L 101-105,240,37,77,.481,23,45,.511,14,32,.438,13,19,.684,101
13817,2014-01-02,MIL,@,UTA,L 87-96,240,36,76,.474,32,54,.593,4,22,.182,11,14,.786,87
13818,2014-01-02,UTA,,MIL,W 96-87,240,36,81,.444,29,65,.446,7,16,.438,17,17,1.000,96
13819,2014-01-01,DEN,,PHI,L 102-114,240,36,91,.396,31,66,.470,5,25,.200,25,35,.714,102
13820,2014-01-01,PHI,@,DEN,W 114-102,240,43,92,.467,34,69,.493,9,23,.391,19,28,.679,114
13821,2014-01-01,CHA,@,LAC,L 85-112,240,29,76,.382,23,55,.418,6,21,.286,21,22,.955,85
13822,2014-01-01,LAC,,CHA,W 112-85,240,47,85,.553,36,51,.706,11,34,.324,7,10,.700,112
13823,2014-01-01,MIN,,NOP,W 124-112,240,44,79,.557,36,57,.632,8,22,.364,28,35,.800,124
13824,2014-01-01,NOP,@,MIN,L 112-124,240,45,87,.517,39,67,.582,6,20,.300,16,22,.727,112
13825,2014-01-01,IND,@,TOR,L 82-95,240,32,74,.432,27,60,.450,5,14,.357,13,20,.650,82
13826,2014-01-01,TOR,,IND,W 95-82,240,34,78,.436,27,59,.458,7,19,.368,20,23,.870,95
13827,2014-01-01,DAL,@,WAS,W 87-78,240,30,78,.385,24,54,.444,6,24,.250,21,23,.913,87
13828,2014-01-01,WAS,,DAL,L 78-87,240,33,88,.375,28,64,.438,5,24,.208,7,10,.700,78
13829,2013-12-31,ATL,@,BOS,W 92-91,240,33,91,.363,28,62,.452,5,29,.172,21,25,.840,92
13830,2013-12-31,BOS,,ATL,L 91-92,240,35,84,.417,30,64,.469,5,20,.250,16,17,.941,91
